latitude,longitude,name
50.842887,-0.768979,Saint Richards Hospital
50.844314,-0.144996,The Park View
50.84508,-1.789443,Ebenezer Lane
50.846185,-1.078181,Wymering Manor
50.846226,0.510469,The Bull
50.846721,-1.79394,Original White Hart
50.846912,-0.714681,Tangmere Military and Aviation Museum Trust
50.848074,-0.205411,Hangleton Manor
50.848875,-0.608937,The Black Horse
50.850439,-0.215858,Foredown Tower
50.850713,0.553396,Site of St Leonards Pier
50.851081,0.554384,Royal Victoria Hotel
50.851176,-0.980543,The Bear Hotel
50.851354,0.554299,Masonic Hall
50.851873,0.557119,Horse and Groom
50.853292,0.549817,Hastings College of Arts and Technology
50.853401,0.565547,7 St Margarets Terrace
50.853495,-0.557656,The Kings Arms
50.853557,0.573174,Pier Carpark
50.853701,0.572271,White Rock Theatre
50.853771,-1.037638,Fort Purbrook
50.854345,-1.06842,Fort Widley
50.854693,-0.554009,Norfolk Arms Hotel
50.854987,-0.554879,Arundel Jailhouse
50.8552,-0.559,Arundel Cathedral
50.855584,0.584643,St Mary In The Castle
50.855604,0.580281,Prince Albert Clock Tower Location
50.855727,-2.166656,The Crown Hotel
50.855905,-0.557112,The Parish Church of St Nicholas
50.856042,0.584879,Hastings Castle
50.856119,0.589508,The Anchor Inn
50.856196,-0.553839,Arundel Castle
50.856375,0.578787,University of Brighton Havelock Buildings
50.856398,-3.944841,The Kings Arms
50.856445,0.580636,Town Hall
50.856468,0.592467,The Lord Nelson
50.856987,0.595551,Lookout Point
50.857463,0.590575,13 Croft Road
50.857717,0.593933,Cinque Ports Arms
50.857722,-3.511897,Fishermans Cot
50.857868,-3.511165,Bickleigh Bridge
50.858836,0.593117,Waterloo Passageway
50.858848,-1.402806,Hythe Hospital
50.858867,0.595218,The Stag Inn
50.859371,0.596174,All Saints Church
50.859714,0.595053,The Stable Theatres and Arts Centre
50.85,-0.7073,RAF Tangmere Control Tower
50.860035,-3.803655,St Thomas of Canterbury Church
50.861788,-0.380777,Cissbury Ring
50.862014,-4.219351,The Devils Stone Inn
50.862428,-1.554809,Lime Wood Hotel
50.86251,0.213597,Michelham Priory
50.863422,-0.562107,Hiorne Tower
50.866596,-1.341568,Netley Victoria Hospital Chapel
50.866619,-0.150687,All Saints Church
50.868712,0.601127,Old London Road Crossroads
50.86899,0.004066,Anne of Cleves House
50.869473,0.338649,Herstmonceux Castle
50.872244,0.004096,The Shelleys Hotel and Restaurant
50.872832,-2.966905,The Choughs Hotel
50.872931,-0.005378,HM Prison Lewes
50.87299,-2.660167,St Juthware and St Marys Church
50.874321,0.538017,Church in the Wood
50.875059,0.011589,Lewes Police Station
50.875872,-1.771214,Moyles Court School
50.876316,-1.35846,Abbey Hall
50.878754,-1.357306,Netley Abbey
50.879518,-0.897505,Racton Tower Ruin
50.88277,-0.310792,St Marys House
50.882921,-0.313318,Lavender Cottage
50.883184,-0.315565,Bramber Castle
50.884121,-2.138277,St Peters Churchyard
