year,sex,name,n,rank,nation
1998,F,Rachel,1890,29,England & Wales
1998,M,Ben,2640,29,England & Wales
1998,F,Elizabeth,1702,30,England & Wales
1998,M,Mohammed,2524,30,England & Wales
1998,F,Amber,1701,31,England & Wales
1998,M,Aaron,2512,31,England & Wales
1998,F,Paige,1687,32,England & Wales
1998,M,Christopher,2499,32,England & Wales
1998,F,Georgina,1624,33,England & Wales
1998,M,Bradley,2452,33,England & Wales
1998,F,Danielle,1598,34,England & Wales
1998,M,Jamie,2451,34,England & Wales
1998,F,Grace,1582,35,England & Wales
1998,M,Charlie,2401,35,England & Wales
1998,F,Nicole,1577,36,England & Wales
1998,M,Brandon,2142,36,England & Wales
1998,F,Natasha,1542,37,England & Wales
1998,M,Robert,2121,37,England & Wales
1998,F,Ella,1538,38,England & Wales
1998,M,Kyle,2016,38,England & Wales
1998,F,Chelsea,1510,39,England & Wales
1998,M,David,1993,39,England & Wales
1998,F,Leah,1474,40,England & Wales
1998,M,Owen,1896,40,England & Wales
1998,F,Victoria,1401,41,England & Wales
1998,M,Charles,1868,41,England & Wales
1998,F,Anna,1389,42,England & Wales
1998,M,Andrew,1808,42,England & Wales
1998,F,Phoebe,1371,43,England & Wales
1998,M,Reece,1729,43,England & Wales
1998,F,Samantha,1345,44,England & Wales
1998,M,Edward,1709,44,England & Wales
1998,F,Zoe,1341,45,England & Wales
1998,M,Dylan,1643,45,England & Wales
1998,F,Alexandra,1290,46,England & Wales
1998,M,Alex,1627,46,England & Wales
1998,F,Jasmine,1268,47,England & Wales
1998,M,Ethan,1565,47,England & Wales
1998,F,Amelia,1249,48,England & Wales
1998,M,Jonathan,1484,48,England & Wales
1998,F,Louise,1102,49,England & Wales
1998,M,Sam,1441,49,England & Wales
1998,F,Lydia,1083,50,England & Wales
1998,M,Louis,1433,50,England & Wales
1998,F,Natalie,1082,51,England & Wales
1998,M,Max,1418,51,England & Wales
1998,F,Abbie,1073,52,England & Wales
1998,M,Dominic,1366,52,England & Wales
1998,F,Francesca,1052,53,England & Wales
1998,M,John,1357,53,England & Wales
1998,F,Melissa,1009,54,England & Wales
1998,M,Ashley,1317,54,England & Wales
1998,F,Katherine,1001,55,England & Wales
1998,M,Rhys,1310,55,England & Wales
1998,F,Harriet,944,56,England & Wales
1998,M,Henry,1244,56,England & Wales
1998,F,Imogen,942,57,England & Wales
1998,M,Conor,1225,57,England & Wales
1998,F,Jodie,937,58,England & Wales
1998,M,Joe,1211,58,England & Wales
1998,F,Gemma,919,59,England & Wales
1998,F,Kayleigh,919,59,England & Wales
1998,M,Tyler,1194,59,England & Wales
1998,M,Scott,1185,60,England & Wales
1998,F,Lily,873,61,England & Wales
1998,M,Sean,1183,61,England & Wales
1998,F,Jennifer,858,62,England & Wales
1998,M,Nicholas,1090,62,England & Wales
1998,F,Kate,844,63,England & Wales
1998,F,Stephanie,844,63,England & Wales
1998,M,Ross,1022,63,England & Wales
1998,M,Morgan,969,64,England & Wales
1998,F,Daisy,839,65,England & Wales
1998,M,Elliot,964,65,England & Wales
1998,F,Niamh,837,66,England & Wales
1998,M,Patrick,937,66,England & Wales
1998,F,Millie,813,67,England & Wales
1998,M,Peter,935,67,England & Wales
1998,F,Aimee,809,68,England & Wales
1998,M,Billy,894,68,England & Wales
1998,F,Kirsty,792,69,England & Wales
1998,M,Mark,891,69,England & Wales
1998,F,Hollie,788,70,England & Wales
1998,M,Stephen,834,70,England & Wales
1998,F,Rosie,786,71,England & Wales
1998,M,Alfie,808,71,England & Wales
1998,F,Jordan,774,72,England & Wales
1998,M,Harrison,803,72,England & Wales
1998,F,Mollie,760,73,England & Wales
1998,M,Lee,801,73,England & Wales
1998,F,Alisha,740,74,England & Wales
1998,M,Anthony,795,74,England & Wales
1998,F,Mia,721,75,England & Wales
1998,M,Mitchell,794,75,England & Wales
1998,F,Isobel,702,76,England & Wales
1998,F,Tia,702,76,England & Wales
1998,M,Joel,782,76,England & Wales
1998,M,Toby,769,77,England & Wales
1998,F,Ellen,691,78,England & Wales
1998,M,Paul,767,78,England & Wales
1998,F,Erin,679,79,England & Wales
1998,M,Jay,754,79,England & Wales
1998,F,Bethan,673,80,England & Wales
1998,M,Jason,723,80,England & Wales
1998,F,Sian,661,81,England & Wales
1998,M,Aidan,712,81,England & Wales
1998,F,Alicia,659,82,England & Wales
1998,M,Richard,683,82,England & Wales
1998,F,Rhiannon,657,83,England & Wales
1998,M,Mohammad,676,83,England & Wales
1998,F,Ashleigh,653,84,England & Wales
1998,M,Isaac,666,84,England & Wales
1998,F,Catherine,645,85,England & Wales
1998,M,Declan,663,85,England & Wales
1998,F,Madeleine,601,86,England & Wales
1998,M,Josh,645,86,England & Wales
1998,F,Isabelle,596,87,England & Wales
1998,F,Kelsey,596,87,England & Wales
1998,F,Sophia,596,87,England & Wales
1998,M,Steven,636,87,England & Wales
1998,M,Marcus,625,88,England & Wales
1998,M,Muhammad,621,89,England & Wales
1998,F,Isabella,594,90,England & Wales
1998,M,Elliott,613,90,England & Wales
1998,F,Naomi,574,91,England & Wales
